date,product_id,product_name,category,units_sold,day_of_week,week_number,month
2025-11-11,PROD-001,Wireless Mouse,Electronics,47,Tuesday,46,2025-11
2025-11-12,PROD-001,Wireless Mouse,Electronics,53,Wednesday,46,2025-11
2025-11-13,PROD-001,Wireless Mouse,Electronics,46,Thursday,46,2025-11
2025-11-14,PROD-001,Wireless Mouse,Electronics,64,Friday,46,2025-11
2025-11-15,PROD-001,Wireless Mouse,Electronics,76,Saturday,46,2025-11
2025-11-16,PROD-001,Wireless Mouse,Electronics,75,Sunday,46,2025-11
2025-11-17,PROD-001,Wireless Mouse,Electronics,50,Monday,47,2025-11
2025-11-18,PROD-001,Wireless Mouse,Electronics,43,Tuesday,47,2025-11
2025-11-19,PROD-001,Wireless Mouse,Electronics,56,Wednesday,47,2025-11
2025-11-20,PROD-001,Wireless Mouse,Electronics,56,Thursday,47,2025-11
2025-11-21,PROD-001,Wireless Mouse,Electronics,60,Friday,47,2025-11
2025-11-22,PROD-001,Wireless Mouse,Electronics,76,Saturday,47,2025-11
2025-11-23,PROD-001,Wireless Mouse,Electronics,81,Sunday,47,2025-11
2025-11-24,PROD-001,Wireless Mouse,Electronics,67,Monday,48,2025-11
2025-11-25,PROD-001,Wireless Mouse,Electronics,55,Tuesday,48,2025-11
2025-11-26,PROD-001,Wireless Mouse,Electronics,62,Wednesday,48,2025-11
2025-11-27,PROD-001,Wireless Mouse,Electronics,60,Thursday,48,2025-11
2025-11-28,PROD-001,Wireless Mouse,Electronics,54,Friday,48,2025-11
2025-11-29,PROD-001,Wireless Mouse,Electronics,80,Saturday,48,2025-11
2025-11-30,PROD-001,Wireless Mouse,Electronics,80,Sunday,48,2025-11
2025-12-01,PROD-001,Wireless Mouse,Electronics,72,Monday,49,2025-12
2025-12-02,PROD-001,Wireless Mouse,Electronics,54,Tuesday,49,2025-12
2025-12-03,PROD-001,Wireless Mouse,Electronics,64,Wednesday,49,2025-12
2025-12-04,PROD-001,Wireless Mouse,Electronics,61,Thursday,49,2025-12
2025-12-05,PROD-001,Wireless Mouse,Electronics,60,Friday,49,2025-12
2025-12-06,PROD-001,Wireless Mouse,Electronics,88,Saturday,49,2025-12
2025-12-07,PROD-001,Wireless Mouse,Electronics,85,Sunday,49,2025-12
2025-12-08,PROD-001,Wireless Mouse,Electronics,61,Monday,50,2025-12
2025-12-09,PROD-001,Wireless Mouse,Electronics,49,Tuesday,50,2025-12
2025-12-10,PROD-001,Wireless Mouse,Electronics,71,Wednesday,50,2025-12
2025-12-11,PROD-001,Wireless Mouse,Electronics,52,Thursday,50,2025-12
2025-12-12,PROD-001,Wireless Mouse,Electronics,71,Friday,50,2025-12
2025-12-13,PROD-001,Wireless Mouse,Electronics,94,Saturday,50,2025-12
2025-12-14,PROD-001,Wireless Mouse,Electronics,72,Sunday,50,2025-12
2025-12-15,PROD-001,Wireless Mouse,Electronics,50,Monday,51,2025-12
2025-12-16,PROD-001,Wireless Mouse,Electronics,55,Tuesday,51,2025-12
2025-12-17,PROD-001,Wireless Mouse,Electronics,56,Wednesday,51,2025-12
2025-12-18,PROD-001,Wireless Mouse,Electronics,49,Thursday,51,2025-12
2025-12-19,PROD-001,Wireless Mouse,Electronics,66,Friday,51,2025-12
2025-12-20,PROD-001,Wireless Mouse,Electronics,70,Saturday,51,2025-12
2025-12-21,PROD-001,Wireless Mouse,Electronics,80,Sunday,51,2025-12
2025-12-22,PROD-001,Wireless Mouse,Electronics,46,Monday,52,2025-12
2025-12-23,PROD-001,Wireless Mouse,Electronics,63,Tuesday,52,2025-12
2025-12-24,PROD-001,Wireless Mouse,Electronics,52,Wednesday,52,2025-12
2025-12-25,PROD-001,Wireless Mouse,Electronics,55,Thursday,52,2025-12
2025-12-26,PROD-001,Wireless Mouse,Electronics,68,Friday,52,2025-12
2025-12-27,PROD-001,Wireless Mouse,Electronics,66,Saturday,52,2025-12
2025-12-28,PROD-001,Wireless Mouse,Electronics,75,Sunday,52,2025-12
2025-12-29,PROD-001,Wireless Mouse,Electronics,59,Monday,1,2025-12
2025-12-30,PROD-001,Wireless Mouse,Electronics,39,Tuesday,1,2025-12
2025-12-31,PROD-001,Wireless Mouse,Electronics,57,Wednesday,1,2025-12
2026-01-01,PROD-001,Wireless Mouse,Electronics,57,Thursday,1,2026-01
2026-01-02,PROD-001,Wireless Mouse,Electronics,66,Friday,1,2026-01
2026-01-03,PROD-001,Wireless Mouse,Electronics,63,Saturday,1,2026-01
2026-01-04,PROD-001,Wireless Mouse,Electronics,62,Sunday,1,2026-01
2026-01-05,PROD-001,Wireless Mouse,Electronics,53,Monday,2,2026-01
2026-01-06,PROD-001,Wireless Mouse,Electronics,51,Tuesday,2,2026-01
2026-01-07,PROD-001,Wireless Mouse,Electronics,123,Wednesday,2,2026-01
2026-01-08,PROD-001,Wireless Mouse,Electronics,124,Thursday,2,2026-01
2026-01-09,PROD-001,Wireless Mouse,Electronics,122,Friday,2,2026-01
2026-01-10,PROD-001,Wireless Mouse,Electronics,72,Saturday,2,2026-01
2026-01-11,PROD-001,Wireless Mouse,Electronics,72,Sunday,2,2026-01
2026-01-12,PROD-001,Wireless Mouse,Electronics,80,Monday,3,2026-01
2026-01-13,PROD-001,Wireless Mouse,Electronics,97,Tuesday,3,2026-01
2026-01-14,PROD-001,Wireless Mouse,Electronics,93,Wednesday,3,2026-01
2026-01-15,PROD-001,Wireless Mouse,Electronics,19,Thursday,3,2026-01
2026-01-16,PROD-001,Wireless Mouse,Electronics,100,Friday,3,2026-01
2026-01-17,PROD-001,Wireless Mouse,Electronics,100,Saturday,3,2026-01
2026-01-18,PROD-001,Wireless Mouse,Electronics,113,Sunday,3,2026-01
2026-01-19,PROD-001,Wireless Mouse,Electronics,93,Monday,4,2026-01
2026-01-20,PROD-001,Wireless Mouse,Electronics,80,Tuesday,4,2026-01
2026-01-21,PROD-001,Wireless Mouse,Electronics,98,Wednesday,4,2026-01
2026-01-22,PROD-001,Wireless Mouse,Electronics,58,Thursday,4,2026-01
2026-01-23,PROD-001,Wireless Mouse,Electronics,67,Friday,4,2026-01
2026-01-24,PROD-001,Wireless Mouse,Electronics,86,Saturday,4,2026-01
2026-01-25,PROD-001,Wireless Mouse,Electronics,72,Sunday,4,2026-01
2026-01-26,PROD-001,Wireless Mouse,Electronics,46,Monday,5,2026-01
2026-01-27,PROD-001,Wireless Mouse,Electronics,46,Tuesday,5,2026-01
2026-01-28,PROD-001,Wireless Mouse,Electronics,52,Wednesday,5,2026-01
2026-01-29,PROD-001,Wireless Mouse,Electronics,58,Thursday,5,2026-01
2026-01-30,PROD-001,Wireless Mouse,Electronics,67,Friday,5,2026-01
2026-01-31,PROD-001,Wireless Mouse,Electronics,79,Saturday,5,2026-01
2026-02-01,PROD-001,Wireless Mouse,Electronics,84,Sunday,5,2026-02
2026-02-02,PROD-001,Wireless Mouse,Electronics,54,Monday,6,2026-02
2026-02-03,PROD-001,Wireless Mouse,Electronics,65,Tuesday,6,2026-02
2026-02-04,PROD-001,Wireless Mouse,Electronics,60,Wednesday,6,2026-02
2026-02-05,PROD-001,Wireless Mouse,Electronics,80,Thursday,6,2026-02
2026-02-06,PROD-001,Wireless Mouse,Electronics,73,Friday,6,2026-02
2025-08-10,PROD-002,USB-C Cable,Electronics,98,Sunday,32,2025-08
2025-08-11,PROD-002,USB-C Cable,Electronics,69,Monday,33,2025-08
2025-08-12,PROD-002,USB-C Cable,Electronics,64,Tuesday,33,2025-08
2025-08-13,PROD-002,USB-C Cable,Electronics,82,Wednesday,33,2025-08
2025-08-14,PROD-002,USB-C Cable,Electronics,79,Thursday,33,2025-08
2025-08-15,PROD-002,USB-C Cable,Electronics,98,Friday,33,2025-08
2025-08-16,PROD-002,USB-C Cable,Electronics,99,Saturday,33,2025-08
2025-08-17,PROD-002,USB-C Cable,Electronics,118,Sunday,33,2025-08
2025-08-18,PROD-002,USB-C Cable,Electronics,69,Monday,34,2025-08
2025-08-19,PROD-002,USB-C Cable,Electronics,68,Tuesday,34,2025-08
2025-08-20,PROD-002,USB-C Cable,Electronics,79,Wednesday,34,2025-08
2025-08-21,PROD-002,USB-C Cable,Electronics,98,Thursday,34,2025-08
2025-08-22,PROD-002,USB-C Cable,Electronics,94,Friday,34,2025-08
2025-08-23,PROD-002,USB-C Cable,Electronics,115,Saturday,34,2025-08
2025-08-24,PROD-002,USB-C Cable,Electronics,111,Sunday,34,2025-08
2025-08-25,PROD-002,USB-C Cable,Electronics,77,Monday,35,2025-08
2025-08-26,PROD-002,USB-C Cable,Electronics,75,Tuesday,35,2025-08
2025-08-27,PROD-002,USB-C Cable,Electronics,87,Wednesday,35,2025-08
2025-08-28,PROD-002,USB-C Cable,Electronics,90,Thursday,35,2025-08
2025-08-29,PROD-002,USB-C Cable,Electronics,107,Friday,35,2025-08
2025-08-30,PROD-002,USB-C Cable,Electronics,102,Saturday,35,2025-08
2025-08-31,PROD-002,USB-C Cable,Electronics,124,Sunday,35,2025-08
2025-09-01,PROD-002,USB-C Cable,Electronics,82,Monday,36,2025-09
2025-09-02,PROD-002,USB-C Cable,Electronics,76,Tuesday,36,2025-09
2025-09-03,PROD-002,USB-C Cable,Electronics,84,Wednesday,36,2025-09
2025-09-04,PROD-002,USB-C Cable,Electronics,94,Thursday,36,2025-09
2025-09-05,PROD-002,USB-C Cable,Electronics,98,Friday,36,2025-09
2025-09-06,PROD-002,USB-C Cable,Electronics,104,Saturday,36,2025-09
2025-09-07,PROD-002,USB-C Cable,Electronics,115,Sunday,36,2025-09
2025-09-08,PROD-002,USB-C Cable,Electronics,85,Monday,37,2025-09
2025-09-09,PROD-002,USB-C Cable,Electronics,83,Tuesday,37,2025-09
2025-09-10,PROD-002,USB-C Cable,Electronics,34,Wednesday,37,2025-09
2025-09-11,PROD-002,USB-C Cable,Electronics,77,Thursday,37,2025-09
2025-09-12,PROD-002,USB-C Cable,Electronics,92,Friday,37,2025-09
2025-09-13,PROD-002,USB-C Cable,Electronics,132,Saturday,37,2025-09
2025-09-14,PROD-002,USB-C Cable,Electronics,100,Sunday,37,2025-09
2025-09-15,PROD-002,USB-C Cable,Electronics,70,Monday,38,2025-09
2025-09-16,PROD-002,USB-C Cable,Electronics,78,Tuesday,38,2025-09
2025-09-17,PROD-002,USB-C Cable,Electronics,82,Wednesday,38,2025-09
2025-09-18,PROD-002,USB-C Cable,Electronics,81,Thursday,38,2025-09
2025-09-19,PROD-002,USB-C Cable,Electronics,103,Friday,38,2025-09
2025-09-20,PROD-002,USB-C Cable,Electronics,101,Saturday,38,2025-09
2025-09-21,PROD-002,USB-C Cable,Electronics,106,Sunday,38,2025-09
2025-09-22,PROD-002,USB-C Cable,Electronics,74,Monday,39,2025-09
2025-09-23,PROD-002,USB-C Cable,Electronics,67,Tuesday,39,2025-09
2025-09-24,PROD-002,USB-C Cable,Electronics,70,Wednesday,39,2025-09
2025-09-25,PROD-002,USB-C Cable,Electronics,81,Thursday,39,2025-09
2025-09-26,PROD-002,USB-C Cable,Electronics,98,Friday,39,2025-09
2025-09-27,PROD-002,USB-C Cable,Electronics,104,Saturday,39,2025-09
2025-09-28,PROD-002,USB-C Cable,Electronics,101,Sunday,39,2025-09
2025-09-29,PROD-002,USB-C Cable,Electronics,70,Monday,40,2025-09
2025-09-30,PROD-002,USB-C Cable,Electronics,67,Tuesday,40,2025-09
2025-10-01,PROD-002,USB-C Cable,Electronics,83,Wednesday,40,2025-10
2025-10-02,PROD-002,USB-C Cable,Electronics,72,Thursday,40,2025-10
2025-10-03,PROD-002,USB-C Cable,Electronics,74,Friday,40,2025-10
2025-10-04,PROD-002,USB-C Cable,Electronics,87,Saturday,40,2025-10
2025-10-05,PROD-002,USB-C Cable,Electronics,97,Sunday,40,2025-10
2025-10-06,PROD-002,USB-C Cable,Electronics,73,Monday,41,2025-10
2025-10-07,PROD-002,USB-C Cable,Electronics,67,Tuesday,41,2025-10
2025-10-08,PROD-002,USB-C Cable,Electronics,71,Wednesday,41,2025-10
2025-10-09,PROD-002,USB-C Cable,Electronics,76,Thursday,41,2025-10
2025-10-10,PROD-002,USB-C Cable,Electronics,81,Friday,41,2025-10
2025-10-11,PROD-002,USB-C Cable,Electronics,99,Saturday,41,2025-10
2025-10-12,PROD-002,USB-C Cable,Electronics,102,Sunday,41,2025-10
2025-10-13,PROD-002,USB-C Cable,Electronics,58,Monday,42,2025-10
2025-10-14,PROD-002,USB-C Cable,Electronics,49,Tuesday,42,2025-10
2025-10-15,PROD-002,USB-C Cable,Electronics,69,Wednesday,42,2025-10
2025-10-16,PROD-002,USB-C Cable,Electronics,65,Thursday,42,2025-10
2025-10-17,PROD-002,USB-C Cable,Electronics,84,Friday,42,2025-10
2025-10-18,PROD-002,USB-C Cable,Electronics,89,Saturday,42,2025-10
2025-10-19,PROD-002,USB-C Cable,Electronics,81,Sunday,42,2025-10
2025-10-20,PROD-002,USB-C Cable,Electronics,61,Monday,43,2025-10
2025-10-21,PROD-002,USB-C Cable,Electronics,55,Tuesday,43,2025-10
2025-10-22,PROD-002,USB-C Cable,Electronics,82,Wednesday,43,2025-10
2025-10-23,PROD-002,USB-C Cable,Electronics,75,Thursday,43,2025-10
2025-10-24,PROD-002,USB-C Cable,Electronics,84,Friday,43,2025-10
2025-10-25,PROD-002,USB-C Cable,Electronics,98,Saturday,43,2025-10
2025-10-26,PROD-002,USB-C Cable,Electronics,101,Sunday,43,2025-10
2025-10-27,PROD-002,USB-C Cable,Electronics,73,Monday,44,2025-10
2025-10-28,PROD-002,USB-C Cable,Electronics,63,Tuesday,44,2025-10
2025-10-29,PROD-002,USB-C Cable,Electronics,65,Wednesday,44,2025-10
2025-10-30,PROD-002,USB-C Cable,Electronics,69,Thursday,44,2025-10
2025-10-31,PROD-002,USB-C Cable,Electronics,83,Friday,44,2025-10
2025-11-01,PROD-002,USB-C Cable,Electronics,82,Saturday,44,2025-11
2025-11-02,PROD-002,USB-C Cable,Electronics,107,Sunday,44,2025-11
2025-11-03,PROD-002,USB-C Cable,Electronics,57,Monday,45,2025-11
2025-11-04,PROD-002,USB-C Cable,Electronics,73,Tuesday,45,2025-11
2025-11-05,PROD-002,USB-C Cable,Electronics,77,Wednesday,45,2025-11
2025-11-06,PROD-002,USB-C Cable,Electronics,80,Thursday,45,2025-11
2025-11-07,PROD-002,USB-C Cable,Electronics,84,Friday,45,2025-11
2025-11-08,PROD-002,USB-C Cable,Electronics,105,Saturday,45,2025-11
2025-11-09,PROD-002,USB-C Cable,Electronics,101,Sunday,45,2025-11
2025-11-10,PROD-002,USB-C Cable,Electronics,69,Monday,46,2025-11
2025-11-11,PROD-002,USB-C Cable,Electronics,67,Tuesday,46,2025-11
2025-11-12,PROD-002,USB-C Cable,Electronics,91,Wednesday,46,2025-11
2025-11-13,PROD-002,USB-C Cable,Electronics,85,Thursday,46,2025-11
2025-11-14,PROD-002,USB-C Cable,Electronics,92,Friday,46,2025-11
2025-11-15,PROD-002,USB-C Cable,Electronics,103,Saturday,46,2025-11
2025-11-16,PROD-002,USB-C Cable,Electronics,108,Sunday,46,2025-11
2025-11-17,PROD-002,USB-C Cable,Electronics,69,Monday,47,2025-11
2025-11-18,PROD-002,USB-C Cable,Electronics,73,Tuesday,47,2025-11
2025-11-19,PROD-002,USB-C Cable,Electronics,77,Wednesday,47,2025-11
2025-11-20,PROD-002,USB-C Cable,Electronics,96,Thursday,47,2025-11
2025-11-21,PROD-002,USB-C Cable,Electronics,90,Friday,47,2025-11
2025-11-22,PROD-002,USB-C Cable,Electronics,107,Saturday,47,2025-11
2025-11-23,PROD-002,USB-C Cable,Electronics,104,Sunday,47,2025-11
2025-11-24,PROD-002,USB-C Cable,Electronics,73,Monday,48,2025-11
2025-11-25,PROD-002,USB-C Cable,Electronics,75,Tuesday,48,2025-11
2025-11-26,PROD-002,USB-C Cable,Electronics,87,Wednesday,48,2025-11
2025-11-27,PROD-002,USB-C Cable,Electronics,83,Thursday,48,2025-11
2025-11-28,PROD-002,USB-C Cable,Electronics,86,Friday,48,2025-11
2025-11-29,PROD-002,USB-C Cable,Electronics,104,Saturday,48,2025-11
2025-11-30,PROD-002,USB-C Cable,Electronics,118,Sunday,48,2025-11
2025-12-01,PROD-002,USB-C Cable,Electronics,78,Monday,49,2025-12
2025-12-02,PROD-002,USB-C Cable,Electronics,83,Tuesday,49,2025-12
2025-12-03,PROD-002,USB-C Cable,Electronics,92,Wednesday,49,2025-12
2025-12-04,PROD-002,USB-C Cable,Electronics,88,Thursday,49,2025-12
2025-12-05,PROD-002,USB-C Cable,Electronics,88,Friday,49,2025-12
2025-12-06,PROD-002,USB-C Cable,Electronics,114,Saturday,49,2025-12
2025-12-07,PROD-002,USB-C Cable,Electronics,122,Sunday,49,2025-12
2025-12-08,PROD-002,USB-C Cable,Electronics,75,Monday,50,2025-12
2025-12-09,PROD-002,USB-C Cable,Electronics,80,Tuesday,50,2025-12
2025-12-10,PROD-002,USB-C Cable,Electronics,86,Wednesday,50,2025-12
2025-12-11,PROD-002,USB-C Cable,Electronics,94,Thursday,50,2025-12
2025-12-12,PROD-002,USB-C Cable,Electronics,89,Friday,50,2025-12
2025-12-13,PROD-002,USB-C Cable,Electronics,118,Saturday,50,2025-12
2025-12-14,PROD-002,USB-C Cable,Electronics,107,Sunday,50,2025-12
2025-12-15,PROD-002,USB-C Cable,Electronics,71,Monday,51,2025-12
2025-12-16,PROD-002,USB-C Cable,Electronics,76,Tuesday,51,2025-12
2025-12-17,PROD-002,USB-C Cable,Electronics,85,Wednesday,51,2025-12
2025-12-18,PROD-002,USB-C Cable,Electronics,94,Thursday,51,2025-12
2025-12-19,PROD-002,USB-C Cable,Electronics,92,Friday,51,2025-12
2025-12-20,PROD-002,USB-C Cable,Electronics,107,Saturday,51,2025-12
2025-12-21,PROD-002,USB-C Cable,Electronics,115,Sunday,51,2025-12
2025-12-22,PROD-002,USB-C Cable,Electronics,76,Monday,52,2025-12
2025-12-23,PROD-002,USB-C Cable,Electronics,67,Tuesday,52,2025-12
2025-12-24,PROD-002,USB-C Cable,Electronics,88,Wednesday,52,2025-12
2025-12-25,PROD-002,USB-C Cable,Electronics,74,Thursday,52,2025-12
2025-12-26,PROD-002,USB-C Cable,Electronics,82,Friday,52,2025-12
2025-12-27,PROD-002,USB-C Cable,Electronics,95,Saturday,52,2025-12
2025-12-28,PROD-002,USB-C Cable,Electronics,94,Sunday,52,2025-12
2025-12-29,PROD-002,USB-C Cable,Electronics,71,Monday,1,2025-12
2025-12-30,PROD-002,USB-C Cable,Electronics,66,Tuesday,1,2025-12
2025-12-31,PROD-002,USB-C Cable,Electronics,53,Wednesday,1,2025-12
2026-01-01,PROD-002,USB-C Cable,Electronics,73,Thursday,1,2026-01
2026-01-02,PROD-002,USB-C Cable,Electronics,79,Friday,1,2026-01
2026-01-03,PROD-002,USB-C Cable,Electronics,102,Saturday,1,2026-01
2026-01-04,PROD-002,USB-C Cable,Electronics,92,Sunday,1,2026-01
2026-01-05,PROD-002,USB-C Cable,Electronics,82,Monday,2,2026-01
2026-01-06,PROD-002,USB-C Cable,Electronics,74,Tuesday,2,2026-01
2026-01-07,PROD-002,USB-C Cable,Electronics,190,Wednesday,2,2026-01
2026-01-08,PROD-002,USB-C Cable,Electronics,200,Thursday,2,2026-01
2026-01-09,PROD-002,USB-C Cable,Electronics,203,Friday,2,2026-01
2026-01-10,PROD-002,USB-C Cable,Electronics,95,Saturday,2,2026-01
2026-01-11,PROD-002,USB-C Cable,Electronics,99,Sunday,2,2026-01
2026-01-12,PROD-002,USB-C Cable,Electronics,129,Monday,3,2026-01
2026-01-13,PROD-002,USB-C Cable,Electronics,130,Tuesday,3,2026-01
2026-01-14,PROD-002,USB-C Cable,Electronics,141,Wednesday,3,2026-01
2026-01-15,PROD-002,USB-C Cable,Electronics,149,Thursday,3,2026-01
2026-01-16,PROD-002,USB-C Cable,Electronics,144,Friday,3,2026-01
2026-01-17,PROD-002,USB-C Cable,Electronics,154,Saturday,3,2026-01
2026-01-18,PROD-002,USB-C Cable,Electronics,144,Sunday,3,2026-01
2026-01-19,PROD-002,USB-C Cable,Electronics,141,Monday,4,2026-01
